disease,symptom,url_x,letter,name
Diarrhoea,It affects most people from time to time and is usually nothing to worry about. It can be distressing and unpleasant. It normally clears up in a few days to a week.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diarrhoea/,D,Diarrhoea
Testicular cancer,Lumps within the scrotum can have many different causes and testicular cancer is rare. If your GP thinks the lump is in your testicle they may consider cancer as a possible cause.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Pressure ulcers,a high temperature,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/pressure-ulcers/,P,Pressure ulcers
Thrush,itching and irritation around the vagina,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/thrush/,T,Thrush
Syphilis,dementia,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/syphilis/,S,Syphilis
Vitamin B12 or folate deficiency anaemia,a pale yellow tinge to your skin,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/vitamin-b12-or-folate-deficiency-anaemia/,V,Vitamin B12 or folate deficiency anaemia
Ulcerative colitis,blood or mucus in your poo,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/inflammatory-bowel-disease-ibd/ulcerative-colitis/,U,Ulcerative colitis
Sjogren’s syndrome,stomach cramps,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/sjogrens-syndrome/,S,Sjogren’s syndrome
Mumps,A person is most contagious a few days before the symptoms develop and for a few days afterwards.,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/mumps/,M,Mumps
Ataxia,viral infection,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/ataxia/,A,Ataxia
Eye cancer,lymphoma,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/eye-cancer/,E,Eye cancer
Rosacea,"Many people with rosacea notice certain triggers make their symptoms worse. Although it’s not always practical or possible, taking steps to avoid these triggers can help reduce the severity and frequency of your symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Diverticular disease and diverticulitis,brown bread – 2 slices of brown bread contain 2.5g of fibre,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/diverticular-disease-and-diverticulitis/,D,Diverticular disease and diverticulitis
Meniere’s disease,"tinnitus – hearing sounds from inside your body, rather than from an outside source",https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/menieres-disease/,M,Meniere’s disease
Arterial thrombosis,Symptoms therefore depend on where the blood clot has formed.,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/arterial-thrombosis/,A,Arterial thrombosis
Thyroid cancer,unexplained hoarseness that doesn’t get better after a few weeks,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/thyroid-cancer/,T,Thyroid cancer
Stomach ache and abdominal pain,irritable bowel syndrome (IBS) – the pain is often relieved when you go to the toilet,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ache-and-abdominal-pain/,S,Stomach ache and abdominal pain
Multiple system atrophy (MSA),"problems with co-ordination, balance and speech (cerebellar ataxia)",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/multiple-system-atrophy-msa/,M,Multiple system atrophy (MSA)
Gallstones,Symptoms of acute cholangitis include:,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/gallstones/,G,Gallstones
Neuroblastoma: Children,"if the tumour occurs in the neck, it’s often visible as a lump and occasionally affects breathing and swallowing",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/neuroblastoma-children/,N,Neuroblastoma: Children
Chronic lymphocytic leukaemia,tummy (abdominal) pain,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/chronic-lymphocytic-leukaemia/,C,Chronic lymphocytic leukaemia
Dehydration,"having dark yellow, strong-smelling pee (urine)",https://www.nhsinform.scot/illnesses-and-conditions/nutritional/dehydration/,D,Dehydration
Oesophageal cancer,loss of appetite and weight loss,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/oesophageal-cancer/,O,Oesophageal cancer
Vaginal cancer,increased risk of infections,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vaginal-cancer/,V,Vaginal cancer
Osteoporosis,hot flushes,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/osteoporosis/,O,Osteoporosis
Depression,flu-like symptoms,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/depression/,D,Depression
Meningitis,a boyfriend or girlfriend,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/meningitis/,M,Meningitis
Food allergy,The most effective way you can prevent symptoms is to remove the offending food – known as an allergen – from their diet.,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/food-allergy/,F,Food allergy
Transient ischaemic attack (TIA),You should tell the person assessing you about the symptoms you experienced and how long they lasted. This will help to rule out other conditions.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/transient-ischaemic-attack-tia/,T,Transient ischaemic attack (TIA)
Lichen planus,lightening of the skin,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/lichen-planus/,L,Lichen planus
Non-Hodgkin lymphoma,having coeliac disease – an adverse reaction to gluten that causes inflammation of the small bowel,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/non-hodgkin-lymphoma/,N,Non-Hodgkin lymphoma
Genital warts,surgery,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/genital-warts/,G,Genital warts
Bulimia,"dental problems – regular vomiting can cause your stomach acid to damage the enamel on your teeth, which can lead to tooth decay",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/bulimia/,B,Bulimia
Chronic kidney disease,avoiding drinking excessive amounts of alcohol,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/chronic-kidney-disease/,C,Chronic kidney disease
Depression,"take them to the nearest A&E, if they agree",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/depression/,D,Depression
Bone cancer: Teenagers and young adults,"If you have any of these symptoms, or you are worried that you may have a bone tumour, you should get it checked by your GP. They can talk to you about your symptoms, and arrange tests if they feel they’re needed.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/bone-cancer-teenagers-and-young-adults/,B,Bone cancer: Teenagers and young adults
Kidney infection,pain when passing urine,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/kidney-infection/,K,Kidney infection
Acute pancreatitis,"Treatment is usually recommended if you’re experiencing symptoms or if the pseudocysts are large. Larger pseudocysts are at risk of bursting, which could cause internal bleeding or trigger an infection.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/,A,Acute pancreatitis
Bile duct cancer (cholangiocarcinoma),"Speak to your GP if you have signs of jaundice or are worried about other symptoms. While it is unlikely you have bile duct cancer, it is best to get it checked.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bile-duct-cancer-cholangiocarcinoma/,B,Bile duct cancer (cholangiocarcinoma)
Addison’s disease,the need to urinate frequently,https://www.nhsinform.scot/illnesses-and-conditions/glands/addisons-disease/,A,Addison’s disease
Ready Steady Baby!,Including the first signs of pregnancy and how your baby develops week to week,https://www.nhsinform.scot/ready-steady-baby/,Unknown,
If your child has cold or flu symptoms,blocked nose,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/if-your-child-has-cold-or-flu-symptoms/,I,If your child has cold or flu symptoms
Cystic fibrosis,autogenic drainage – a series of gentle breathing techniques that clear mucus from the lungs,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/cystic-fibrosis/,C,Cystic fibrosis
Vomiting in children and babies,swallowing something poisonous,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/vomiting-in-children-and-babies/,V,Vomiting in children and babies
Pancreatic cancer,diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/pancreatic-cancer/,P,Pancreatic cancer
Stomach ache and abdominal pain,abdominal migraines – recurrent episodes of abdominal pain with no identifiable cause,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ache-and-abdominal-pain/,S,Stomach ache and abdominal pain
Ataxia,a lumbar puncture to take a sample of cerebrospinal fluid from the base of the spine to check for infection,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/ataxia/,A,Ataxia
Rosacea,alcohol and caffeine,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Vaginal cancer,"having a history of reproductive cancers, such as cervical cancer or vulval cancer – particularly if you were treated with radiotherapy",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vaginal-cancer/,V,Vaginal cancer
Testicular cancer,a feeling of heaviness in the scrotum,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Erectile dysfunction (impotence),conditions affecting the physical structure of your penis – anatomical,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/erectile-dysfunction-impotence/,E,Erectile dysfunction (impotence)
Lung cancer,The main symptoms of lung cancer are:,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/lung-cancer/,L,Lung cancer
Anorexia nervosa,"keeping your body weight low, to the point it’s unhealthy",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anorexia-nervosa/,A,Anorexia nervosa
Parkinson’s disease,"For some people with Parkinson’s disease, making dietary changes can help improve some symptoms.",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/parkinsons-disease/,P,Parkinson’s disease
Overactive thyroid,tearing (excess production of tears),https://www.nhsinform.scot/illnesses-and-conditions/glands/overactive-thyroid/,O,Overactive thyroid
Stroke,"Speech – they might slur their speech or it might be garbled, or the person may not be able to talk at all despite appearing to be awake",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/stroke/,S,Stroke
Benign prostate enlargement,severe lower abdominal pain,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/benign-prostate-enlargement/,B,Benign prostate enlargement
Cystitis,needing to pee more often and urgently than normal,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/cystitis/,C,Cystitis
Cervical spondylosis,"Rarely, it can irritate a nerve in the neck, which can cause symptoms such as pain and or altered sensation in your arm for example pins and needles or numbness. If any of these occur, it’s a good idea to talk to a health care professional.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/cervical-spondylosis/,C,Cervical spondylosis
Congenital heart disease,shortness of breath after exercising,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/congenital-heart-disease/,C,Congenital heart disease
Malignant brain tumour (cancerous),"vision problems – such as blurred vision, floaters and loss of vision that may come and go",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
